ImageId,EncodedPixels
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[10675, 4, 10938, 1, 11199, 1, 11459, 1, 11719, 1, 12924, 4, 23738, 1, 24000, 1, 26683, 1, 30529, 2, 30781, 7, 33965, 1, 34484, 1, 34644, 5, 34744, 1, 34900, 9, 35003, 1, 35157, 12, 35263, 1, 35414, 15, 35523, 1, 35673, 16, 35782, 1, 35932, 16, 36042, 1, 36190, 17, 36361, 1, 36449, 16, 36708, 14, 36882, 1, 36968, 11, 37228, 8, 41106, 3, 41368, 3, 41631, 2, 47273, 1, 53677, 6, 83762, 1]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[41959, 3, 42216, 8, 42475, 9, 42734, 10, 42993, 11, 43252, 12, 43511, 13, 43771, 13, 44031, 13, 44290, 13, 44550, 13, 44810, 12, 45070, 12, 45330, 12, 45590, 11, 45849, 11, 46109, 10, 46370, 8, 46630, 6, 46891, 3]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[55972, 9, 56230, 11, 56489, 12, 56748, 13, 57007, 14, 57266, 14, 57526, 14, 57785, 14, 58045, 14, 58305, 14, 58566, 12, 58826, 11, 59088, 7]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[33922, 11, 34181, 13, 34439, 15, 34698, 16, 34956, 18, 35216, 18, 35475, 19, 35735, 19, 35994, 19, 36254, 19, 36513, 20, 36773, 19, 37033, 19, 37293, 17, 37553, 16, 37813, 15, 38074, 12, 38335, 10, 38596, 8, 38858, 4]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[65592, 3, 65850, 6, 66108, 8, 66367, 9, 66626, 9, 66884, 10, 67143, 10, 67401, 10, 67660, 10, 67918, 11, 68177, 10, 68436, 10, 68695, 10, 68955, 9, 69215, 8, 69474, 7, 69735, 5]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[35878, 3, 36136, 5, 36394, 7, 36653, 8, 36912, 9, 37171, 10, 37430, 11, 37690, 11, 37949, 12, 38209, 12, 38469, 12, 38728, 13, 38988, 13, 39248, 13, 39509, 12, 39769, 12, 40029, 12, 40290, 11, 40550, 11, 40811, 9, 41073, 3]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[43219, 5, 43476, 9, 43735, 11, 43994, 12, 44254, 12, 44513, 13, 44772, 14, 45030, 16, 45289, 16, 45549, 15, 45809, 14, 46069, 12, 46329, 10, 46591, 5]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[11161, 5, 11419, 12, 11679, 15, 11939, 17, 12199, 20, 12459, 21, 12721, 19, 12983, 17, 13244, 16, 13505, 12, 13769, 4]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[27232, 2, 27490, 6, 27748, 9, 28007, 11, 28266, 13, 28525, 15, 28784, 16, 29043, 17, 29303, 17, 29563, 17, 29823, 17, 30083, 16, 30343, 15, 30603, 14, 30864, 11]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[4164, 6, 4423, 8, 4682, 10, 4942, 11, 5202, 11, 5462, 12, 5722, 12, 5982, 13, 6242, 13, 6502, 14, 6762, 14, 7022, 15, 7282, 15, 7542, 15, 7803, 14, 8063, 14, 8324, 13, 8584, 13, 8845, 11, 9106, 9, 9370, 2]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[28186, 5, 28443, 10, 28701, 14, 28959, 16, 29218, 17, 29477, 18, 29737, 18, 29997, 17, 30257, 16, 30519, 10]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[18982, 7, 19241, 10, 19501, 11, 19761, 12, 20021, 12, 20281, 12, 20541, 12, 20801, 12, 21061, 12, 21321, 11, 21581, 10, 21841, 8, 22102, 4]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[6078, 14, 6336, 18, 6595, 20, 6855, 21, 7115, 21, 7375, 21, 7635, 22, 7895, 22, 8155, 21, 8416, 20, 8677, 19, 8939, 16, 9202, 12, 9467, 5]"
52b267e20519174e3ce1e1994b5d677804b16bc670aa5f6ffb6344a0fdf63fde,"[27301, 4, 27561, 5, 27821, 5, 28081, 6, 28341, 6, 28601, 6, 28861, 7, 29121, 7, 29381, 7, 29641, 8, 29901, 8, 30161, 7, 30421, 7, 30681, 7, 30941, 7, 31201, 6, 31461, 6, 31721, 6, 31981, 5, 32241, 5, 32501, 4, 32762, 1]"
